produto_codigo,produto_nome,item,quantidade,unidade,valor_unitario,valor_total,observacoes
ROL011,Banana + Maca + Canela + Cardamomo 50g,Sacola,1,un,,,definir se entra por produto ou por venda
ROL012,Sortidos 100g,Rolinhos variados,X,un,,,usar custo medio conforme sabores do lote
ROL012,Sortidos 100g,Embalagem,1,un,,,
ROL012,Sortidos 100g,Adesivo,1,un,,,
ROL012,Sortidos 100g,Sacola,1,un,,,
ROL013,Sortidos 500g,Rolinhos variados,X,un,,,usar custo medio conforme sabores do lote
ROL013,Sortidos 500g,Embalagem,1,un,,,
ROL013,Sortidos 500g,Adesivo,1,un,,,
ROL013,Sortidos 500g,Sacola,1,un,,,
ROL014,Sortidos 1kg,Rolinhos variados,X,un,,,usar custo medio conforme sabores do lote
ROL014,Sortidos 1kg,Embalagem,1,un,,,
ROL014,Sortidos 1kg,Adesivo,1,un,,,
ROL014,Sortidos 1kg,Sacola,1,un,,,
ERV001,Erva Cidreira Pacote,Erva cidreira,1,pct,,,
ERV001,Erva Cidreira Pacote,Embalagem,1,un,,,
ERV001,Erva Cidreira Pacote,Adesivo,1,un,,,
ERV002,Capim Limao Pacote,Capim limao,1,pct,,,
ERV002,Capim Limao Pacote,Embalagem,1,un,,,
ERV002,Capim Limao Pacote,Adesivo,1,un,,,
ERV003,Hortela Pacote,Hortela,1,pct,,,
ERV003,Hortela Pacote,Embalagem,1,un,,,
ERV003,Hortela Pacote,Adesivo,1,un,,,
ESP001,Pimenta Rosa 20g,Pimenta rosa,20,g,,,
ESP001,Pimenta Rosa 20g,Embalagem,1,un,,,
ESP001,Pimenta Rosa 20g,Adesivo,1,un,,,
ESP002,Pitaya em Po 25g,Pitaya em po,25,g,,,
ESP002,Pitaya em Po 25g,Embalagem,1,un,,,
ESP002,Pitaya em Po 25g,Adesivo,1,un,,,
ESP003,Curcuma em Po 50g,Curcuma em po,50,g,,,
ESP003,Curcuma em Po 50g,Embalagem,1,un,,,
ESP003,Curcuma em Po 50g,Adesivo,1,un,,,
ESP004,Gengibre 25g,Gengibre desidratado,25,g,,,
ESP004,Gengibre 25g,Embalagem,1,un,,,
ESP004,Gengibre 25g,Adesivo,1,un,,,
ESP005,Casca de Limao Tahiti 25g,Casca de limao tahiti,25,g,,,
ESP005,Casca de Limao Tahiti 25g,Embalagem,1,un,,,
ESP005,Casca de Limao Tahiti 25g,Adesivo,1,un,,,
ESP006,Casca de Limao Siciliano 25g,Casca de limao siciliano,25,g,,,
ESP006,Casca de Limao Siciliano 25g,Embalagem,1,un,,,
ESP006,Casca de Limao Siciliano 25g,Adesivo,1,un,,,
ESP007,Casca de Laranja 25g,Casca de laranja,25,g,,,
ESP007,Casca de Laranja 25g,Embalagem,1,un,,,
ESP007,Casca de Laranja 25g,Adesivo,1,un,,,
ESP008,Casca Cristalizada 30g,Casca cristalizada,30,g,,,
ESP008,Casca Cristalizada 30g,Embalagem,1,un,,,
ESP008,Casca Cristalizada 30g,Adesivo,1,un,,,
FLO001,Mini Rosas 10 flores,Mini rosas,10,flor,,,
FLO001,Mini Rosas 10 flores,Embalagem,1,un,,,
FLO001,Mini Rosas 10 flores,Adesivo,1,un,,,
FLO002,Mini Rosas 25 flores,Mini rosas,25,flor,,,
FLO002,Mini Rosas 25 flores,Embalagem,1,un,,,
FLO002,Mini Rosas 25 flores,Adesivo,1,un,,,
FLO003,Mini Rosas 50 flores,Mini rosas,50,flor,,,
FLO003,Mini Rosas 50 flores,Embalagem,1,un,,,
FLO003,Mini Rosas 50 flores,Adesivo,1,un,,,
FLO004,Lavanda 10 flores,Lavanda,10,flor,,,
FLO004,Lavanda 10 flores,Embalagem,1,un,,,
FLO004,Lavanda 10 flores,Adesivo,1,un,,,
FLO005,Lavanda 20 flores,Lavanda,20,flor,,,
FLO005,Lavanda 20 flores,Embalagem,1,un,,,
FLO005,Lavanda 20 flores,Adesivo,1,un,,,
FLO006,Lavanda 30 flores,Lavanda,30,flor,,,
FLO006,Lavanda 30 flores,Embalagem,1,un,,,
FLO006,Lavanda 30 flores,Adesivo,1,un,,,
FLO007,Mix de Flores Sortidas 50 flores,Mix de flores sortidas,50,flor,,,
FLO007,Mix de Flores Sortidas 50 flores,Embalagem,1,un,,,
FLO007,Mix de Flores Sortidas 50 flores,Adesivo,1,un,,,
FLO008,Mix de Petalas Unidade,Mix de petalas,Unidade,un,,,
FLO008,Mix de Petalas Unidade,Embalagem,1,un,,,
FLO008,Mix de Petalas Unidade,Adesivo,1,un,,,
